stem,Adams filtration,weight,tautorsion,side,name,name_occurrence
48,7,26,0,motivic,h0^2 h5 e0,1
48,7,26,0,motivic,M h2,1
48,7,26,0,machine,{7-42},1
48,7,26,0,machine,{7-43},1
50,15,29,1,motivic,c0 d0^3,1
50,15,29,1,machine,{15-77},1
50,15,29,1,machine,{15-79},1
53,15,31,1,motivic,c0 d0^2 e0,1
53,15,31,1,machine,{15-88},1
53,15,31,1,machine,{15-90},1
56,8,31,1,motivic,h5 c0 e0,1
56,8,31,1,motivic,h1 B6,1
56,8,31,1,machine,{8-58},1
56,8,31,1,machine,{8-60},1
56,13,31,0,motivic,D h1 d0 e0,1
56,13,31,0,motivic,M P h1^3,1
56,13,31,0,machine,{13-95},1
56,13,31,0,machine,{13-96},1
57,9,32,1,motivic,h1^2 B6,1
57,9,32,1,motivic,h1 h5 c0 e0,1
57,9,32,1,machine,{9-72},1
57,9,32,1,machine,{9-74},1
59,15,35,1,motivic,c0 e0^3,1
59,15,35,1,machine,{15-112},1
59,15,35,1,machine,{15-115},1
60,9,32,0,motivic,M h0^2 h4,1
60,9,32,0,motivic,B4,1
60,9,32,0,machine,{9-81},1
60,9,32,0,machine,{9-83},1
62,8,33,0,motivic,D e1,1
62,8,33,0,motivic,C0,1
62,8,33,0,machine,{8-74},1
62,8,33,0,machine,{8-75},1
63,7,34,0,motivic,X2,1
63,7,34,0,motivic,C',1
63,7,34,0,machine,{7-65},1
63,7,34,0,machine,{7-66},1
63,9,34,0,motivic,D h1 e1,1
63,9,34,0,motivic,M h0 h2 h4,1
63,9,34,0,machine,{9-91},1
63,9,34,0,machine,{9-93},1
64,17,35,0,motivic,P D h1 d0 e0,1
64,17,35,0,motivic,M P^2 h1^3,1
64,17,35,0,machine,{17-151},1
64,17,35,0,machine,{17-153},1
65,9,35,0,motivic,h2 C0,1
65,9,35,0,motivic,h1 h3 Q2,1
65,9,35,0,machine,{9-100},1
65,9,35,0,machine,{9-98},1
67,19,39,1,motivic,c0 d0^3 e0,1
67,19,39,1,machine,{19-168},1
67,19,39,1,machine,{19-171},1
67,19,39,1,machine,{19-173},1
69,9,37,0,motivic,h1 G21,1
69,9,37,0,motivic,h1 G21 again,2
69,9,37,0,machine,{9-109},1
70,19,41,1,motivic,c0 d0^2 e0^2,1
70,19,41,1,machine,{19-188},1
70,19,41,1,machine,{19-192},1
71,14,38,0,motivic,M h0 j,1
71,14,38,0,motivic,D^2 h0 h2 g,1
71,14,38,0,machine,{14-154},1
71,14,38,0,machine,{14-155},1
72,7,39,1,motivic,h1^3 p',1
72,7,39,1,motivic,"h1 x71,6",1
72,7,39,1,machine,{7-90},1
72,7,39,1,machine,{7-91},1
72,21,39,0,motivic,P^2 D h1 d0 e0,1
72,21,39,0,motivic,M P^3 h1^3,1
72,21,39,0,machine,{21-216},1
72,21,39,0,machine,{21-219},1
73,8,40,1,motivic,h0 h2^2 Q3,1
73,8,40,1,motivic,"h1^2 x71,6",1
73,8,40,1,machine,{8-109},1
73,8,40,1,machine,{8-110},1
73,19,43,1,motivic,c0 d0 e0^3,1
73,19,43,1,machine,{19-208},1
73,19,43,1,machine,{19-213},1
75,23,43,1,motivic,P c0 d0^3 e0,1
75,23,43,1,machine,{23-238},1
75,23,43,1,machine,{23-241},1
75,23,43,1,machine,{23-243},1
76,17,40,0,motivic,M P i,1
76,17,40,0,motivic,D^2 h0 d0^2,1
76,17,40,0,machine,{17-210},1
76,17,40,0,machine,{17-211},1
76,19,45,1,motivic,c0 e0^4,1
76,19,45,1,machine,{19-228},1
