stem,Adams filtration,weight,tautorsion,side,name,name_occurrence
0,4,0,0,machine,{4-0},1
0,5,0,0,machine,{5-0},1
0,6,0,0,machine,{6-0},1
0,7,0,0,machine,{7-0},1
0,8,0,0,machine,{8-0},1
0,9,0,0,machine,{9-0},1
0,10,0,0,machine,{10-0},1
0,11,0,0,machine,{11-0},1
0,12,0,0,machine,{12-0},1
0,13,0,0,machine,{13-0},1
0,14,0,0,machine,{14-0},1
0,15,0,0,machine,{15-0},1
0,16,0,0,machine,{16-0},1
0,17,0,0,machine,{17-0},1
0,18,0,0,machine,{18-0},1
0,19,0,0,machine,{19-0},1
0,20,0,0,machine,{20-0},1
0,21,0,0,machine,{21-0},1
0,22,0,0,machine,{22-0},1
0,23,0,0,machine,{23-0},1
0,24,0,0,machine,{24-0},1
0,25,0,0,machine,{25-0},1
0,26,0,0,machine,{26-0},1
0,27,0,0,machine,{27-0},1
0,28,0,0,machine,{28-0},1
0,29,0,0,machine,{29-0},1
0,30,0,0,machine,{30-0},1
0,31,0,0,machine,{31-0},1
0,32,0,0,machine,{32-0},1
0,33,0,0,machine,{33-0},1
0,34,0,0,machine,{34-0},1
0,35,0,0,machine,{35-0},1
0,36,0,0,machine,{36-0},1
0,37,0,0,machine,{37-0},1
0,38,0,0,machine,{38-0},1
0,39,0,0,machine,{39-0},1
0,40,0,0,machine,{40-0},1
0,41,0,0,machine,{41-0},1
0,42,0,0,machine,{42-0},1
0,43,0,0,machine,{43-0},1
0,44,0,0,machine,{44-0},1
0,45,0,0,machine,{45-0},1
0,46,0,0,machine,{46-0},1
0,47,0,0,machine,{47-0},1
0,48,0,0,machine,{48-0},1
0,49,0,0,machine,{49-0},1
0,50,0,0,machine,{50-0},1
0,51,0,0,machine,{51-0},1
0,52,0,0,machine,{52-0},1
0,53,0,0,machine,{53-0},1
0,54,0,0,machine,{54-0},1
0,55,0,0,machine,{55-0},1
0,56,0,0,machine,{56-0},1
0,57,0,0,machine,{57-0},1
0,58,0,0,machine,{58-0},1
0,59,0,0,machine,{59-0},1
0,60,0,0,machine,{60-0},1
0,61,0,0,machine,{61-0},1
0,62,0,0,machine,{62-0},1
0,63,0,0,machine,{63-0},1
0,64,0,0,machine,{64-0},1
0,65,0,0,machine,{65-0},1
5,5,5,1,machine,{5-1},1
6,6,6,1,machine,{6-1},1
7,7,7,1,machine,{7-1},1
8,8,8,1,machine,{8-1},1
9,9,9,1,machine,{9-1},1
10,5,7,1,machine,{5-4},1
10,10,10,1,machine,{10-1},1
11,6,8,1,machine,{6-4},1
11,11,11,1,machine,{11-1},1
12,7,9,1,machine,{7-4},1
12,8,8,1,machine,{8-3},1
12,12,12,1,machine,{12-1},1
13,8,10,1,machine,{8-4},1
13,9,9,1,machine,{9-3},1
13,13,13,1,machine,{13-1},1
14,9,11,1,machine,{9-4},1
14,10,10,1,machine,{10-3},1
14,14,14,1,machine,{14-1},1
15,10,12,1,machine,{10-4},1
15,11,11,1,machine,{11-3},1
15,15,15,1,machine,{15-1},1
16,11,13,1,machine,{11-4},1
16,12,12,1,machine,{12-3},1
16,16,16,1,machine,{16-1},1
17,12,14,1,machine,{12-4},1
17,13,13,1,machine,{13-3},1
17,17,17,1,machine,{17-1},1
18,8,12,1,machine,{8-9},1
18,9,11,1,machine,{9-8},1
18,13,15,1,machine,{13-4},1
18,14,14,1,machine,{14-3},1
18,18,18,1,machine,{18-1},1
19,6,12,1,machine,{6-11},1
19,9,13,1,machine,{9-9},1
19,10,12,1,machine,{10-8},1
19,14,16,1,machine,{14-4},1
19,15,15,1,machine,{15-3},1
19,19,19,1,machine,{19-1},1
20,7,13,1,machine,{7-11},1
20,10,14,1,machine,{10-10},1
20,11,13,1,machine,{11-8},1
20,12,12,1,machine,{12-7},1
20,15,17,1,machine,{15-4},1
20,16,16,1,machine,{16-3},1
20,20,20,1,machine,{20-1},1
21,8,14,1,machine,{8-12},1
21,11,15,1,machine,{11-10},1
21,12,14,1,machine,{12-8},1
21,13,13,1,machine,{13-7},1
21,16,18,1,machine,{16-4},1
21,17,17,1,machine,{17-3},1
21,21,21,1,machine,{21-1},1
22,9,15,1,machine,{9-13},1
22,12,16,1,machine,{12-10},1
22,13,15,1,machine,{13-8},1
22,14,14,1,machine,{14-7},1
22,17,19,1,machine,{17-4},1
22,18,18,1,machine,{18-3},1
22,22,22,1,machine,{22-1},1
23,8,14,1,machine,{8-14},1
23,10,16,1,machine,{10-14},1
23,13,17,1,machine,{13-10},1
23,14,16,1,machine,{14-8},1
23,15,15,1,machine,{15-7},1
23,18,20,1,machine,{18-4},1
23,19,19,1,machine,{19-3},1
23,23,23,1,machine,{23-1},1
24,9,15,1,machine,{9-17},1
24,11,17,1,machine,{11-15},1
24,14,18,1,machine,{14-10},1
24,15,17,1,machine,{15-8},1
24,16,16,1,machine,{16-7},1
24,19,21,1,machine,{19-4},1
24,20,20,1,machine,{20-3},1
24,24,24,1,machine,{24-1},1
25,10,16,1,machine,{10-17},1
25,12,18,1,machine,{12-15},1
25,15,19,1,machine,{15-10},1
25,16,18,1,machine,{16-8},1
25,17,17,1,machine,{17-7},1
25,20,22,1,machine,{20-4},1
25,21,21,1,machine,{21-3},1
25,25,25,1,machine,{25-1},1
26,8,16,1,machine,{8-19},1
26,11,17,1,machine,{11-17},1
26,12,16,1,machine,{12-16},1
26,13,15,1,machine,{13-14},1
26,13,19,1,machine,{13-15},1
26,16,20,1,machine,{16-10},1
26,17,19,1,machine,{17-8},1
26,18,18,1,machine,{18-7},1
26,21,23,1,machine,{21-4},1
26,22,22,1,machine,{22-3},1
26,26,26,1,machine,{26-1},1
27,9,17,1,machine,{9-22},1
27,10,16,1,machine,{10-20},1
27,12,18,1,machine,{12-18},1
27,13,17,1,machine,{13-16},1
27,14,16,1,machine,{14-14},1
27,14,20,1,machine,{14-15},1
27,17,21,1,machine,{17-10},1
27,18,20,1,machine,{18-8},1
27,19,19,1,machine,{19-7},1
27,22,24,1,machine,{22-4},1
27,23,23,1,machine,{23-3},1
27,27,27,1,machine,{27-1},1
28,10,18,1,machine,{10-22},1
28,11,17,1,machine,{11-20},1
28,13,19,1,machine,{13-19},1
28,14,18,1,machine,{14-17},1
28,15,17,1,machine,{15-14},1
28,15,21,1,machine,{15-15},1
28,16,16,1,machine,{16-12},1
28,18,22,1,machine,{18-10},1
28,19,21,1,machine,{19-8},1
28,20,20,1,machine,{20-7},1
28,23,25,1,machine,{23-4},1
28,24,24,1,machine,{24-3},1
28,28,28,1,machine,{28-1},1
29,11,19,1,machine,{11-22},1
29,12,18,1,machine,{12-21},1
29,14,20,1,machine,{14-19},1
29,15,19,1,machine,{15-17},1
29,16,18,1,machine,{16-14},1
29,16,22,1,machine,{16-15},1
29,17,17,1,machine,{17-12},1
29,19,23,1,machine,{19-10},1
29,20,22,1,machine,{20-8},1
29,21,21,1,machine,{21-7},1
29,24,26,1,machine,{24-4},1
29,25,25,1,machine,{25-3},1
29,29,29,1,machine,{29-1},1
30,10,18,1,machine,{10-25},1
30,12,20,1,machine,{12-24},1
30,13,19,1,machine,{13-22},1
30,15,21,1,machine,{15-19},1
30,16,20,1,machine,{16-17},1
30,17,19,1,machine,{17-14},1
30,17,23,1,machine,{17-15},1
30,18,18,1,machine,{18-12},1
30,20,24,1,machine,{20-10},1
30,21,23,1,machine,{21-8},1
30,22,22,1,machine,{22-7},1
30,25,27,1,machine,{25-4},1
30,26,26,1,machine,{26-3},1
30,30,30,1,machine,{30-1},1
31,11,19,1,machine,{11-25},1
31,12,18,1,machine,{12-25},1
31,13,21,1,machine,{13-26},1
31,14,20,1,machine,{14-23},1
31,16,22,1,machine,{16-19},1
31,17,21,1,machine,{17-17},1
31,18,20,1,machine,{18-14},1
31,18,24,1,machine,{18-15},1
31,19,19,1,machine,{19-12},1
31,21,25,1,machine,{21-10},1
31,22,24,1,machine,{22-8},1
31,23,23,1,machine,{23-7},1
31,26,28,1,machine,{26-4},1
31,27,27,1,machine,{27-3},1
31,31,31,1,machine,{31-1},1
32,12,20,1,machine,{12-28},1
32,13,19,1,machine,{13-28},1
32,14,22,1,machine,{14-27},1
32,15,21,1,machine,{15-24},1
32,17,23,1,machine,{17-19},1
32,18,22,1,machine,{18-17},1
32,19,21,1,machine,{19-14},1
32,19,25,1,machine,{19-15},1
32,20,20,1,machine,{20-12},1
32,22,26,1,machine,{22-10},1
32,23,25,1,machine,{23-8},1
32,24,24,1,machine,{24-7},1
32,27,29,1,machine,{27-4},1
32,28,28,1,machine,{28-3},1
32,32,32,1,machine,{32-1},1
33,10,20,1,machine,{10-31},1
33,13,21,1,machine,{13-30},1
33,14,20,1,machine,{14-28},1
33,15,23,1,machine,{15-27},1
33,16,22,1,machine,{16-24},1
33,18,24,1,machine,{18-19},1
33,19,23,1,machine,{19-17},1
33,20,22,1,machine,{20-14},1
33,20,26,1,machine,{20-15},1
33,21,21,1,machine,{21-12},1
33,23,27,1,machine,{23-10},1
33,24,26,1,machine,{24-8},1
33,25,25,1,machine,{25-7},1
33,28,30,1,machine,{28-4},1
33,29,29,1,machine,{29-3},1
33,33,33,1,machine,{33-1},1
34,11,21,1,machine,{11-31},1
34,12,20,1,machine,{12-32},1
