motivic_name,machine_name,stem,Adams filtration,weight,tautorsion,name_occurrence,match_method
1,{0-0},0,0,0,0,1,key
h0,{1-0},0,1,0,0,1,key
h0^2,{2-0},0,2,0,0,1,key
h0^3,{3-0},0,3,0,0,1,key
h1,{1-1},1,1,1,0,1,key
h1^2,{2-1},2,2,2,0,1,key
h2,{1-2},3,1,2,0,1,key
h0 h2,{2-2},3,2,2,0,1,key
h1^3,{3-1},3,3,3,0,1,key
h1^4,{4-1},4,4,4,1,1,key
h2^2,{2-3},6,2,4,0,1,key
h3,{1-3},7,1,4,0,1,key
h0 h3,{2-4},7,2,4,0,1,key
h0^2 h3,{3-3},7,3,4,0,1,key
h0^3 h3,{4-3},7,4,4,0,1,key
h1 h3,{2-5},8,2,5,0,1,key
c0,{3-4},8,3,5,0,1,key
h1^2 h3,{3-5},9,3,6,0,1,key
h1 c0,{4-4},9,4,6,0,1,key
P h1,{5-3},9,5,5,0,1,key
P h1^2,{6-3},10,6,6,0,1,key
P h2,{5-5},11,5,6,0,1,key
P h0 h2,{6-5},11,6,6,0,1,key
P h1^3,{7-3},11,7,7,0,1,key
h3^2,{2-6},14,2,8,0,1,key
h0 h3^2,{3-6},14,3,8,0,1,key
d0,{4-6},14,4,8,0,1,key
h0 d0,{5-7},14,5,8,0,1,key
h0^2 d0,{6-7},14,6,8,0,1,key
h4,{1-4},15,1,8,0,1,key
h0 h4,{2-7},15,2,8,0,1,key
h0^2 h4,{3-7},15,3,8,0,1,key
h0^3 h4,{4-7},15,4,8,0,1,key
h0^4 h4,{5-9},15,5,8,0,1,key
h1 d0,{5-8},15,5,9,0,1,key
h0^5 h4,{6-8},15,6,8,0,1,key
h0^6 h4,{7-7},15,7,8,0,1,key
h0^7 h4,{8-7},15,8,8,0,1,key
h1 h4,{2-8},16,2,9,0,1,key
h1^2 d0,{6-9},16,6,10,0,1,key
P c0,{7-8},16,7,9,0,1,key
h1^2 h4,{3-8},17,3,10,0,1,key
e0,{4-8},17,4,10,0,1,key
h0 e0,{5-10},17,5,10,0,1,key
h0^2 e0,{6-10},17,6,10,0,1,key
h1^3 d0,{7-9},17,7,11,0,1,key
P h1 c0,{8-8},17,8,10,0,1,key
P^2 h1,{9-7},17,9,9,0,1,key
h2 h4,{2-9},18,2,10,0,1,key
h0 h2 h4,{3-9},18,3,10,0,1,key
f0,{4-9},18,4,10,0,1,key
h1^3 h4,{4-10},18,4,11,0,1,key
h1 e0,{5-11},18,5,11,0,1,key
P^2 h1^2,{10-7},18,10,10,0,1,key
c1,{3-10},19,3,11,0,1,key
P^2 h2,{9-10},19,9,10,0,1,key
P^2 h0 h2,{10-9},19,10,10,0,1,key
P^2 h1^3,{11-7},19,11,11,0,1,key
t g,{4-11},20,4,11,0,1,key
h2 e0,{5-13},20,5,12,0,1,key
h0 h2 e0,{6-12},20,6,12,0,1,key
h2^2 h4,{3-11},21,3,12,0,1,key
t h1 g,{5-14},21,5,12,0,1,key
h2 c1,{4-12},22,4,13,0,1,key
